name,IBAN,amount,reference,day,month,year
17462,19707,924.0,7084145119172,6,4,2021
37332,19596,758.5,4566960482929,15,3,2022
22531,4748,642.49,5263152958055,28,10,2021
29511,29948,686.74,8890216585710,2,10,2020
23654,2263,1068.145149324747,3869855088796,1,10,2022
31626,2383,910.65,6597747516993,8,1,2023
19396,32982,38.39,8728114172742,24,11,2024
22694,45448,398.8,1030278422135,27,6,2020
15812,3259,243.22,3680705942958,22,5,2023
24695,8781,370.06399332560926,4860665587416,11,5,2023
2570,5225,763.56,0963436313338,17,3,2022
26518,24138,738.29,3689712090584,11,8,2022
19709,710,811.74,9600576983458,2,4,2020
2909,14414,764.69,2470529296280,5,10,2020
8740,20227,722.54,6737810030012,13,8,2021
34537,25717,522.58,7451365767603,10,8,2022
5476,32385,855.84,4794261270222,12,6,2020
13128,40090,735.38,17411752,23,5,2024
40446,25049,411.33,6641231615140,23,2,2020
14973,42535,495.48,6830880720989,2,10,2020
16599,40755,221.72,77272263,27,10,2024
12814,4002,268.83,0619655821382,28,7,2021
24601,26686,481.57,6091201700886,28,8,2021
3278,42216,755.51,6202374153250,19,10,2022
19306,31967,884.01,8354543529156,11,1,2021
9444,44879,902.01,704217076086,13,6,2024
40113,24205,800.75,5113189278926,12,9,2020
14499,10278,819.19,1929232,16,6,2020
34843,25354,849.56,1417082848045,3,7,2024
6916,39049,530.06,6693568885987,28,12,2022
24613,2106,919.94,3325962052926,28,6,2024
35121,28358,766.76,2829586877664,1,5,2024
21250,45989,727.45,1524827962987,2,5,2021
40731,29965,412.0,3471495518955,18,9,2021
23302,14281,697.43,42412274,2,2,2022
7499,30685,409.73,5294409352876,24,11,2021
16337,20683,637.57,0213825820344,18,7,2023
32702,43708,287.89,5832406053282,8,1,2023
12259,28813,804.84,8997032576592,4,4,2022
28562,23970,687.04,7797355026344,3,2,2021
22923,24094,418.68,5659467397144,1,11,2021
22908,35444,284.44,6055719825394,3,4,2023
22927,24458,710.94,9176512152153,24,8,2022
35000,47608,731.96,8334103968496,19,9,2021
27735,20164,256.26,3900887914131,7,8,2023
1865,23617,420.73,2902692291095,10,1,2020
11447,7754,818.75,table race account,20,12,2021
6773,17229,714.98,9891718404584,23,2,2022
9501,34459,293.4,4519297844311,23,7,2020
5063,26450,258.71,5525946548867,20,5,2021
34695,7184,262.7,9412787747053,3,5,2021
152,3044,933.7,9580405079913,26,10,2021
21316,22501,827.3,5151153492398,20,10,2023
33033,46705,177.28,9480977349349,28,9,2024
28580,9195,860.75,5668753152305,15,3,2022
38984,4624,1100.8464650002036,2317068046313,9,6,2023
34717,14703,1124.8970739991605,9531954606778,11,9,2022
5044,25907,820.18,6552891588951,26,7,2022
17953,10463,640.11,9531891029968,26,7,2023
14657,18873,170.59,4036917692768,4,8,2021
28489,24603,602.73,7287641399660,13,8,2024
4533,13095,423.81,0788735387008,12,3,2021
17570,20802,212.7,9037396754997,7,1,2023
5111,48646,99.03,6669268649808,4,2,2021
32179,48674,601.87,6020025745025,20,2,2022
2385,48900,263.75,1584832025725,1,6,2024
17280,42257,632.58,5331661217465,14,6,2024
35415,41536,738.07,6741692967656,24,5,2022
36955,13738,143.44,8055852993330,11,3,2020
12421,47167,642.81,8493233580746,8,12,2024
20415,24285,18.78,0783499278852,28,11,2023
6484,14093,20.53,8506783966196,14,6,2020
26827,17504,695.51,3557527388533,14,9,2022
38482,24127,752.17,6531800775835,11,11,2020
7792,8996,162.55,3549474950116,11,3,2022
8609,2534,431.34,8815814993187,23,8,2024
40266,7426,58.31,7321782595311,6,1,2023
38524,4433,415.49,5763174639432,8,12,2023
3592,5479,514.9,7976479382295,15,10,2022
31496,14855,962.29,0875255193780,26,10,2023
37539,8324,60.12,3721519462123,16,7,2023
26404,45808,60.57,2841015429954,23,1,2024
35631,45868,305.44,6537477235733,14,3,2020
30855,3297,494.21,1772939107325,1,3,2022
874,39236,447.47,2066390006785,4,6,2020
1471,17750,450.64,Rich responsibility magazine decide plant,21,5,2020
27463,34922,731.39,14871955,26,9,2023
16771,15472,78.0,199914486489,22,6,2020
40352,46222,486.75,9930515650531,15,9,2024
33427,1749,597.23,7981600825527,3,4,2022
19706,27423,991.24,1973481783771,9,4,2021
37747,23442,599.71,5730360760157,28,5,2023
8863,2499,286.49,75333898,14,2,2020
24766,18748,242.14,5024978975349,24,7,2021
13680,16922,891.02,7783341772029,24,12,2020
8774,23394,288.8,9997339157233,14,5,2024
2891,30000,334.96,7956474105280,1,5,2023
28403,4677,544.51,0760302989969,21,2,2022
24024,22145,400.24,7636919501326,5,1,2022
33540,27290,305.96,5431130686324,20,9,2024
38725,10026,437.44,4044393003138,9,3,2021
28845,11278,838.74,2397608746248,23,1,2020
4620,35704,249.58,6156805090822,25,10,2023
17189,13891,652.9,9067233426350,1,2,2021
6199,3349,821.22,1529940421069,11,3,2021
20201,22555,745.68,5073178532999,18,2,2021
26760,8579,305.89,3128624565730,26,4,2023
38070,19854,716.08,85796010,17,4,2024
2214,26844,29.48,3424780778404,21,11,2022
9767,36867,723.66,5529187146196,24,7,2023
25238,30549,239.59,0317998781478,6,4,2024
9826,49334,479.84,4556675902713,27,12,2024
38541,1351,847.44,4710159974157,10,7,2024
10698,47619,683.41,9383400633797,10,5,2021
23540,27734,401.51,6039580759569,11,8,2023
17676,41307,876.71,1315338719869,25,10,2021
7356,25253,744.68,6033479060460,25,2,2023
13387,10512,147.01,25463927,12,11,2020
28460,29454,228.81,2988941059487,11,12,2023
22907,22494,841.13,6276309069855,5,10,2021
39124,12778,468.04,4519469753755,6,1,2020
28396,17731,836.97,0120703073399,1,9,2022
3436,18180,189.86,5347437399983,19,3,2021
29854,45429,792.22,7949582692216,11,3,2020
11521,30642,957.69,8409727600470,27,7,2024
21619,8705,967.65,2786299243097,24,8,2023
4843,17496,291.34,1116956123713,22,12,2023
8796,19505,718.3464299758323,4648534662040,26,2,2022
7762,13969,181.34,7726246958372,12,6,2021
19042,15320,139.96,5701342482343,10,5,2023
30175,29300,56.44,8590730750570,1,9,2023
40496,16069,857.49,3060916976698,21,6,2022
22605,16899,169.97,5486242522954,23,4,2023
6688,13286,902.24,3244209636821,17,11,2021
27015,40747,521.34,4887143671221,2,12,2022
36851,8422,768.71,4593900829964,14,7,2020
35079,44161,307.9,4947696648177,25,4,2020
38841,22986,634.24,9387623873244,20,1,2022
2803,40948,996.79,2250867667993,6,1,2021
31522,50448,201.62,1655094802802,1,4,2022
6003,12741,774.11,7168399848405,10,1,2020
37918,4228,642.61,0639322859272,17,9,2024
24673,41158,172.69,7874206260376,16,10,2020
11279,46821,200.83,8407172442454,22,4,2022
14540,22013,517.39,4181265949207,2,8,2024
1745,26087,156.79,9790386051888,21,1,2021
12600,11632,373.09,7142000570831,25,1,2021
35860,45997,10.63,7542066961114,26,10,2021
32167,1344,758.52,3039642667170,21,11,2020
2153,5977,691.96,0206005719477,3,9,2023
33722,9482,115.65,6612603243698,21,6,2021
15390,9020,418.21,5745284485383,21,8,2022
34305,20218,239.1,4934551993916,13,4,2024
27556,3756,415.58,2403418268570,14,5,2024
16040,20560,322.23,58185766,1,1,2024
31663,16545,726.43,151648337550,26,1,2024
28745,24025,35.63,7892713125049,11,3,2024
4598,36838,490.12,2699203236750,18,3,2021
7410,20287,411.37,91487155,16,5,2023
27440,40613,249.84,7920160815586,17,9,2023
13867,38299,272.46,Free force,21,7,2021
26112,31166,646.77,2665216316796,21,12,2020
736,45007,86.16,0618500794215,24,7,2022
2023,38656,201.74,5568108388956,8,10,2024
24856,15438,265.25,0376204124195,15,5,2020
26720,14398,254.76,1625915390078,24,4,2024
39596,35416,228.03,2221063277521,5,4,2022
37941,35004,640.67,657486129789,24,5,2020
10566,22098,746.64,2579988566399,21,2,2023
29599,6204,874.1,1196674039718,27,8,2022
32405,26468,81.81,5562852416569,17,12,2022
34734,5,613.25,4593436605094,5,9,2023
35905,22185,892.88,2192273950835,11,9,2024
21730,42223,791.64,9909453929924,22,5,2020
7207,21576,520.79,2721913428344,20,6,2022
8858,37494,608.62,1299628498552,22,12,2022
32201,32467,690.61,4706994131640,3,3,2020
31691,33125,643.81,7719657746089,28,3,2024
14147,885,200.52,68797539,18,1,2024
31550,6135,779.03,9321730615250,27,1,2024
5194,28841,448.82,6317350040476,20,4,2024
14287,39811,953.47,9824381892310,20,4,2020
25807,48926,551.49,9139503541213,7,1,2023
36192,30668,473.27,7178690300656,14,6,2023
5596,32165,790.96,2250302917843,4,5,2024
3100,32721,931.229817596006,4653856461752,23,11,2020
34315,2195,383.04,4620427660647,14,3,2022
18227,1702,66.18,8254330238349,4,6,2022
37139,50066,255.56,7093404873533,24,12,2024
23207,5155,121.67,5642031994115,5,10,2020
10716,46259,1383.9270312322712,3821383209166,22,10,2024
18148,629,124.96,3888739199397,3,7,2023
2172,24381,429.66,751511638441,2,7,2021
12007,31515,646.27,2331001164858,3,8,2023
27731,30434,797.24,6646880288882,24,6,2020
20032,8073,249.13,6572188811463,19,7,2022
39366,48990,173.16,9555554914385,17,2,2022
19325,7310,772.44,6060860967732,1,9,2024
23019,46994,571.85,8941750919315,2,7,2020
19862,45083,816.44,2930437879246,24,2,2020
10857,26031,80.88,5266396670929,28,9,2020
31531,19249,583.11,8294675562341,21,2,2021
20919,4394,509.51,2958676026177,2,11,2024
2931,15906,764.16,93798204,8,3,2020
10952,11429,620.44,2636866979808,15,2,2021
38896,13881,670.2,85887565,23,2,2024
25743,32403,317.84,1176526687847,27,6,2020
37586,37278,524.23,2526392374461,11,4,2023
11114,27622,407.75,6674143449299,19,8,2022
16671,43081,751.19,0570780309056,4,1,2024
21656,39741,40.34,82561796,3,4,2024
22688,25024,955.53,4329158686260,23,1,2023
38549,34785,539.17,7425844137058,6,4,2023
5938,36586,142.1309004865256,4351363379262,7,9,2024
11040,8842,442.7259977076971,8103489010255,22,9,2021
18557,123,188.67,7561585658749,23,3,2021
3084,12036,717.18,0853900328541,4,10,2020
29199,21238,461.96,9173486796925,23,12,2021
9717,42915,228.92,4059948571642,5,9,2023
13707,4754,484.59,5735391984602,6,2,2021
15813,32234,954.27,5426626550678,12,3,2024
15989,91,328.06,GB02EJUL04387166037290,8,10,2022
33481,10695,622.6,0783457467977,5,12,2020
8242,5046,801.43,4752720393820,11,4,2024
11618,9516,472.13,8566677792263,5,11,2021
6043,36332,442.88,1029316686745,11,6,2024
32597,37175,500.941549154383,2763925904867,1,10,2022
27158,38150,230.53,7406288885804,10,7,2024
31935,47815,656.81,2347537619748,8,8,2020
11345,34756,142.08,4743209541665,3,7,2020
4114,4227,837.33,7851493079973,27,8,2022
38991,9374,24.33,00803984,12,2,2020
32897,37619,935.13,9663474673197,27,9,2024
24470,47666,662.46,87204186,26,3,2024
14173,40505,877.4,1802669573098,2,3,2023
5598,29807,600.57,379353770978,22,6,2021
21465,24594,581.86,5594976318306,26,5,2022
23872,3832,607.83,3241484974563,2,6,2021
8877,37243,486.26,4897734097545,21,7,2021
22626,14710,135.65,424218409682,10,6,2021
37847,32913,827.06,8523703683346,27,1,2024
36671,5698,145.49,1302289778946,13,9,2020
23838,44276,264.15,1375868892197,4,8,2022
3581,3131,575.99,1190374835793,20,3,2024
40021,14485,469.41,7194144101860,9,9,2021
25926,7968,402.99,2324107711323,21,10,2023
34068,29324,488.12,5860517804127,21,9,2024
33438,3269,999.6,7830502595871,12,5,2024
10089,2588,24.87,6308371136019,16,2,2022
24152,44513,695.55,5743457202034,28,1,2024
1266,1443,18.29,7082803172316,21,8,2024
12049,27750,734.88,4631638495270,17,11,2024
22729,8925,955.58,0654652783455,18,5,2021
21331,23426,842.3286495009597,9534807159605,19,6,2024
21577,12890,289.07,1096208125286,13,10,2024
12226,5037,669.32,3271285826983,12,12,2022
14809,3183,785.0,6796449606661,27,2,2020
33830,13189,92.93,1330917271590,27,10,2020
14970,33529,450.02,0974664689942,22,3,2023
16983,40580,448.34,5557720230040,28,2,2024
15378,15087,282.46,9178686570092,27,6,2021
12260,36132,677.62,6882547626974,18,6,2023
26216,50387,513.17,9226146050735,26,5,2024
14589,3915,892.77,7925525471674,14,5,2022
39222,18724,806.85,3141780650911,9,4,2023
30488,38758,200.05,2953217560066,6,2,2024
8743,39672,22.54,8612399952994,2,3,2020
36249,28624,466.13,7594850657871,3,12,2021
36715,38311,897.78,4615794807559,15,2,2022
5438,41140,771.63,2190402,15,7,2022
36132,3078,387.08,71093903066,13,3,2023
4708,3034,453.49,2134185483476,24,3,2020
1959,40041,452.94,Girl ball,24,1,2021
19346,26357,282.15,2539940151872,9,1,2024
25265,49640,474.25,9822664284593,22,9,2023
4586,47131,533.43,9411831291948,27,11,2024
18199,22862,146.62,4890109264559,12,12,2020
2017,8616,228.23,6838123050176,1,9,2020
38404,28248,20.08,2776037322115,25,11,2022
23472,16665,344.34,8823888785645,22,12,2020
8691,7733,542.34,8445290877802,14,1,2023
6900,23315,315.5,9560514159645,27,8,2022
30102,5454,453.07,0726997687283,21,5,2023
17622,33506,534.41,4359451975730,2,12,2023
8001,10501,811.43,0025687460374,17,3,2021
33027,31213,597.73,09032330,1,5,2023
31906,23073,126.03,152273138307,15,4,2021
6781,31096,814.5,6501668285395,26,9,2023
20371,37066,669.27,3219876404370,16,4,2021
19958,25327,888.08,6280977096846,27,5,2021
20191,7164,815.03,7394332348972,22,9,2023
1844,20392,831.3,4177559827764,14,10,2023
24243,13545,770.95,9239279473791,12,6,2021
28986,1888,761.09,7182115578834,21,8,2022
25381,9990,48.28,8055836204926,5,2,2022
2083,42637,75.46,3444510872035,27,7,2023
33850,5792,124.31,8057873801595,1,1,2023
12917,22921,879.22,0178287575075,26,6,2024
19755,16201,820.15,255797940996,20,5,2023
18080,31684,213.52,64323152,12,8,2021
22988,26743,269.99,6928234098461,18,2,2024
5121,5859,355.0032988119028,3585093087109,4,4,2020
13827,5139,1355.463358417953,0616234825625,7,8,2024
13442,42082,614.01,7222497474024,24,2,2022
17825,33576,685.65,9388316031361,8,4,2022
10261,21261,109.69297608295447,4606025347081,20,9,2022
30852,8889,495.69,0541963492605,3,10,2020
37731,15237,804.61,4073470910540,19,7,2022
34332,25549,596.88,1736876819604,18,11,2021
32442,22446,643.22,3669873512385,14,3,2022
22368,23783,142.66,583597750836,12,4,2021
1992,35435,683.87,8950003848692,3,4,2021
8646,2041,535.6,3682398896587,21,5,2021
14876,22149,655.27,7989033648799,21,1,2023
31862,15981,350.12,9769728972839,17,12,2022
39849,50155,402.77,15346155,1,2,2023
10005,34145,829.87,Commercial run,26,11,2020
15695,17193,320.55,9557226874294,7,9,2023
28949,14629,955.81,0481210929792,27,3,2022
23159,48159,404.16,0280088906870,18,2,2024
2685,15297,321.08,3351419523350,27,5,2021
25851,11313,858.9920469669598,4003372071766,17,6,2021
14595,33075,970.55,6412048051274,3,5,2023
5707,17465,453.76,8942388727457,4,8,2024
26729,43697,173.35,3729241296979,1,3,2023
