name,IBAN,amount,reference,day,month,year
1367,1159,269.02,85618947,19,12,2021
364,1046,907.69,Field religious activity officer,11,12,2020
3039,1840,571.06,7973278974256,3,3,2021
553,2426,10.71,1378276913515,26,6,2024
1957,3717,158.87,2732015706872,1,12,2021
4573,3141,180.23,5673406071896,7,8,2023
3765,906,793.61,9739569441986,10,1,2020
2730,4122,464.3,4045558578430,26,8,2024
758,1855,64.18,1035972670264,10,3,2020
1495,1135,373.0,1960597344484,7,12,2020
4589,2917,35.91,2099656784240,23,10,2020
4279,2048,642.34,3789595800055,22,10,2021
1819,4556,826.81,9706202115016,4,4,2023
2807,367,371.87,3973771450985,17,2,2023
1846,2198,694.53,28975540,11,7,2021
1068,4359,284.16,7656241864913,21,3,2022
1339,1702,752.89,7000689179014,3,12,2024
2036,4962,866.73,2724084317226,21,2,2023
3029,1326,273.05,3961452592741,22,7,2023
2040,1875,489.07,5797373343098,22,12,2022
2075,2084,111.25,9389577454579,6,6,2024
3617,697,594.04,8375100637534,23,5,2024
3972,2731,931.82,7013091311057,20,4,2024
2519,3051,157.42,0754699677523,4,5,2021
2896,1341,174.77,9730442803204,18,11,2024
499,4889,933.61,39558626,15,11,2020
1632,4561,161.48,9911823357565,10,1,2023
3759,2079,623.42,4261876921356,3,10,2020
605,2643,733.09,6736522873603,18,9,2024
4095,2068,399.44719946158335,1052001117712,16,7,2024
1463,4504,891.93,8970174098740,2,2,2021
3899,4539,811.71,7627635646460,19,5,2022
4526,3354,519.477048407131,7646193876355,28,10,2020
150,4118,93.57,8861807614201,7,1,2023
4206,3601,706.45,0154962711488,25,7,2022
4796,4120,409.18,0062610807752,13,10,2024
4399,4798,394.33,4753198144938,3,7,2020
2243,2741,331.47,7918070407892,26,3,2023
606,78,16.53,7880255724561,14,6,2022
4140,814,330.42,163975247846,26,2,2021
206,237,510.94,2289101976294,20,7,2021
2721,1311,361.07,5900585934088,9,7,2020
4241,822,531.64,5766921702427,9,8,2021
4231,1678,548.77,9988802455420,1,3,2024
2428,308,408.13,93289088845,10,9,2021
1177,3665,550.85,2659154109879,2,7,2020
2360,3536,19.72,192557050871,4,8,2024
2416,1621,864.5,720554058189,15,12,2023
3034,533,782.79,3624143910469,15,2,2022
3346,140,270.41,8657333966293,5,3,2024
2461,4760,521.24,433215269281,7,11,2020
4539,3695,753.2,8708112980945,20,10,2024
