name,IBAN,amount,reference,description,day,month,year
Dustin Downs,GB24NYAX32804095917349,269.02,85618947,Subscription 85618947,19,12,2021
Antonio Li Jr.,GB22DDIR25004770456644,907.69,Field religious activity officer,,11,12,2020
Mark Johnson MD,GB37XFPT83501522579319,571.06,7973278974256,,3,3,2021
Brendan Pruitt,GB48UOUA28440390847390,10.71,1378276913515,,26,6,2024
Jeffrey Bradley,GB74BFAU13492410193176,158.87,2732015706872,,1,12,2021
Timothy Fry,GB62RZEE63027248481492,180.23,5673406071896,,7,8,2023
Rachel Lawson,GB19OOAJ76021504214286,793.61,9739569441986,,10,1,2020
Kristin George,GB82IOIZ67178065675111,464.3,4045558578430,,26,8,2024
Charles Johnson,GB38CDPE00679884969674,64.18,1035972670264,,10,3,2020
Erica Allen,GB23YHBD34908074072203,373.0,1960597344484,,7,12,2020
Timothy Smith,GB58BOYY13987015094491,35.91,2099656784240,Payment 2099656784240 for services,23,10,2020
Sonya Perry,GB41PWHW18962983927622,642.34,3789595800055,,22,10,2021
James Henry,GB90PMZR16092343279704,826.81,9706202115016,,4,4,2023
Laura Smith,GB08SCPY83635601779159,371.87,3973771450985,Subscription 3973771450985,17,2,2023
James Smith,GB44IBWF91470944576032,694.53,28975540,,11,7,2021
Daniel Henry,GB87AFTB66965919249318,284.16,7656241864913,,21,3,2022
Dr. Carlos Singleton,GB35DCPS55251891250884,752.89,7000689179014,,3,12,2024
Jennifer Manning,GB98DTQL93984368091121,866.73,2724084317226,,21,2,2023
Mark Garcia,GB28AAVM74011231195097,273.05,3961452592741,,22,7,2023
Jennifer Murray,GB38NNUB33394043707480,489.07,5797373343098,,22,12,2022
Jeremy Turner,GB42HMBJ07058019829246,111.25,9389577454579,,6,6,2024
Omar Moran,GB15NHTL63234333377665,594.04,8375100637534,,23,5,2024
Roger Green,GB54GHDA10436745084056,931.82,7013091311057,,20,4,2024
Kathryn Brown,GB60SETX64296066959680,157.42,0754699677523,,4,5,2021
Lisa Garrison,GB28GSBY16957839195899,174.77,9730442803204,,18,11,2024
Bradley Hess,GB96PSJL32602174417436,933.61,39558626,,15,11,2020
Gregory Cook,GB90RKUN21685114316178,161.48,9911823357565,,10,1,2023
Rachel George,GB42EAKQ83027738996207,623.42,4261876921356,,3,10,2020
Bridget Hill,GB52OEKV84747196968969,733.09,6736522873603,,18,9,2024
Sara Avery,GB41XLQM38324983466979,399.44719946158335,1052001117712,,16,7,2024
Emily Wallace,GB89PGTK46294581043008,891.93,8970174098740,,2,2,2021
Robert Brown,GB90DZYY18888154365111,811.71,7627635646460,,19,5,2022
Thomas Cain,GB66WXJZ64417655410891,519.477048407131,7646193876355,Really system inside fire base church.,28,10,2020
Amanda Dorsey,GB82GOCF12308612951056,93.57,8861807614201,,7,1,2023
Shannon Golden,GB71SGBT12404553995396,706.45,0154962711488,,25,7,2022
William Mccann,GB82HRJG94018675468318,409.18,0062610807752,,13,10,2024
Steven Wallace,GB95DMSF75521407553684,394.33,4753198144938,,3,7,2020
John Williams,GB54NCAM43889501138745,331.47,7918070407892,,26,3,2023
